04/04/2026 11:13:09.486 - Pamonha, Goiás
04/04/2026 12:20:35.538 - Moqueca Baiana, Bahia
04/04/2026 12:20:40.559 - Moqueca Baiana, Itália
04/04/2026 12:20:49.774 - Moqueca Baiana, Bahia
04/04/2026 12:20:58.019 - Moqueca Baiana
04/04/2026 12:21:03.518 - Moqueca Baiana,
04/04/2026 12:21:12.925 - Bahia
04/04/2026 12:21:51.812 - Moqueca Baiana, Bahia
04/04/2026 13:29:16.701 - Pão de Queijo, Minas Gerais
04/04/2026 13:29:23.709 - Pão de Queijo, Paquistão
04/04/2026 13:29:57.305 - Acarajé, Bahia
04/04/2026 13:37:24.339 - Pão de Queijo, Minas Gerais
04/04/2026 13:37:28.929 - Pão de Queijo, Bahia
04/04/2026 13:38:26.639 - Acarajé, Bahia
04/04/2026 13:38:32.200 - Acarajé, São Paulo
04/04/2026 13:38:35.665 - São Paulo
04/04/2026 13:38:42.077 - Acarajé, São Paulo
04/04/2026 13:39:35.541 - Acarajé, Brasil
04/04/2026 13:39:40.378 - Acarajé, Itália
04/04/2026 13:39:50.248 - Acarajé, Finlandia
04/04/2026 13:39:53.558 - Acarajé, Bahia
04/04/2026 13:39:57.025 - Acarajé
04/04/2026 13:40:11.780 - Acarajé é da Bahia
04/04/2026 13:40:17.203 - Acarajé é de São Paulo
04/04/2026 13:44:06.483 - Acarajé, Bahia
04/04/2026 13:44:12.307 - Acarajé, São Paulo
04/04/2026 13:44:36.006 - Acarajé, Bahia
04/04/2026 13:45:42.527 - Acarajé, Bahia
04/04/2026 13:45:46.518 - Acarajé, São Paulo
04/04/2026 13:45:57.712 - Acarajé, Itália
04/04/2026 13:49:01.114 - Acarajé, Bahia
04/04/2026 13:49:05.963 - Acarajé, São Paulo
04/04/2026 13:49:21.150 - Pizza, Itália
04/04/2026 13:49:33.254 - Pizza, Espanha
04/04/2026 13:49:38.065 - Pizza, Brasil
04/04/2026 13:49:57.996 - Cuscuz, Bahia
04/04/2026 13:50:53.368 - Cuscuz, São Paulo
04/04/2026 13:50:59.228 - Cuscuz Paulista, São Paulo
04/04/2026 13:51:03.798 - Cuscuz, São Paulo
04/04/2026 13:52:40.349 - Acarajé, Bahia
04/04/2026 13:52:57.114 - Acarajé, São Paulo
04/04/2026 14:04:08.172 - Cuscuz Paulista, São Paulo
04/04/2026 14:04:21.071 - Cuscuz Paulista, Itália
04/04/2026 14:19:40.727 - Pão de Queijo, Bahia
04/04/2026 14:19:52.964 - Pão de Queijo, Minas Gerais
04/04/2026 14:20:18.940 - Pão de Queijo, Bahia
04/04/2026 14:24:10.592 - Pão de Queijo, Minas Gerais
04/04/2026 14:24:23.829 - Pão de Queijo, Fortaleza
04/04/2026 14:36:20.713 - Pão de Queijo, Minas Gerais
04/04/2026 14:36:38.601 - Pão de Queijo, Fortaleza
05/04/2026 23:01:32.279 - Feijoada, São Paulo
06/04/2026 19:31:08.836 - pão de queijo, discord
06/04/2026 19:31:18.327 - pão de queijo, minas

06/04/2026 19:31:27.783 - pão de queijo, minas gerais

06/04/2026 19:31:42.724 - Pão de Queijo, Minas Gerais

06/04/2026 19:34:09.897 - Pão de Queijo, Minas Gerais
06/04/2026 19:34:21.373 - Pão de Queijo, França
06/04/2026 19:35:07.257 - pão de queijo, minas gerais
06/04/2026 19:35:13.821 - pão de queijo, minas 

06/04/2026 19:35:18.487 - pão de queijo, minas
06/04/2026 19:35:25.846 - pão de queijo, discord
06/04/2026 19:35:40.131 - pão de queijo, minas gerais
06/04/2026 19:35:46.152 - pão de queijo, minas gerias
06/04/2026 19:36:02.389 - cuscuz paulista, rio de janeiro
06/04/2026 19:36:09.992 - cuscuz paulista, são paulo
06/04/2026 19:36:15.809 - cuscuz paulista, sao paulo
06/04/2026 19:36:24.933 - cuzcuz paulista, sao paulo
06/04/2026 19:36:41.938 - pão francês, frança
06/04/2026 19:37:07.623 - aracaje, bahia

06/04/2026 19:37:14.970 - aracaje, bahia
06/04/2026 19:37:23.704 - aracajé, bahia
06/04/2026 19:37:39.888 - acaraje, bahia
06/04/2026 19:37:53.597 - acaraje, bahea
06/04/2026 19:38:26.169 - pão de queijo é de minas gerais?
06/04/2026 19:38:30.650 - pão de queijo é de minas gerais
06/04/2026 19:38:40.885 - pão de queijo minas gerais
06/04/2026 19:38:49.243 - pão de queijo, minas gerais
06/04/2026 19:39:32.309 - pão de queijo, discord
06/04/2026 19:39:41.468 - pão de queijo, minas gerais

06/04/2026 19:39:45.625 - pão de queijo, minas gerais
06/04/2026 19:49:17.257 - pão de queijo, minas gerais
06/04/2026 19:49:21.859 - pão de queijo, minas gerais 
06/04/2026 19:49:32.744 -   pão de queijo, minas gerais   
23/04/2026 00:41:00.901 - Pequi, Goiás
