Label,Text
true,"Empanada, Argentina"
false,"Empadão Goiano, Rússia"
false,"Barreado, Portugal"
true,"Choripán, Argentina"
true,"Fish and Chips, Reino Unido"
false,"Salsicha, Tailândia"
true,"Moqueca Capixaba, Espírito Santo"
true,"Choripán, Argentina"
true,"Virado à Paulista, São Paulo"
false,"Fish and Chips, Paraná"
false,"Feijão Tropeiro, Suíça"
false,"Acarajé, Canadá"
false,"Pequi, Colômbia"
false,"Curry, Egito"
true,"Barreado, Paraná"
true,"Tapioca, Pernambuco"
false,"Tacos, Índia"
false,"Arepa, Rio de Janeiro"
true,"Moqueca Baiana, Bahia"
true,"Moqueca Baiana, Bahia"
true,"Fish and Chips, Reino Unido"
false,"Baião de Dois, Paraná"
true,"Vatapá, Bahia"
true,"Arroz de Cuxá, Maranhão"
true,"Macarronada, Itália"
false,"Ceviche, São Paulo"
true,"Kimchi, Coreia do Sul"
false,"Acarajé, Rio Grande do Sul"
false,"Pato de Pequim, Reino Unido"
true,"Ratatouille, França"
true,"Pad Thai, Tailândia"
true,"Ratatouille, França"
false,"Moqueca Capixaba, Rio de Janeiro"
true,"Feijoada, Rio de Janeiro"
false,"Empanada, Espanha"
false,"Feijão Tropeiro, França"
true,"Ceviche, Peru"
true,"Sashimi, Japão"
false,"Paella, Austrália"
true,"Hambúrguer, Estados Unidos"
true,"Poutine, Canadá"
true,"Pamonha, Goiás"
false,"Baião de Dois, Tailândia"
true,"Bacalhau, Portugal"
true,"Arepa, Colômbia"
false,"Moqueca Baiana, Egito"
true,"Arroz de Cuxá, Maranhão"
false,"Churrasco, Colômbia"
false,"Sushi, Espírito Santo"
false,"Acarajé, Japão"
false,"Pato de Pequim, Alemanha"
false,"Tacacá, Pernambuco"
true,"Tacacá, Amazonas"
true,"Tapioca, Pernambuco"
false,"Sushi, Suíça"
true,"Pad Thai, Tailândia"
false,"Fish and Chips, Tailândia"
true,"Baião de Dois, Ceará"
false,"Pequi, Paraíba"
false,"Paella, Estados Unidos"
false,"Choripán, Peru"
true,"Empanada, Argentina"
true,"Salsicha, Alemanha"
true,"Feijão Tropeiro, Minas Gerais"
false,"Sushi, Goiás"
false,"Feijão Tropeiro, Chile"
false,"Barreado, Itália"
false,"Pamonha, Acre"
false,"Pão de Queijo, Canadá"
false,"Pato de Pequim, Paraná"
false,"Pão de Queijo, Portugal"
true,"Acarajé, Bahia"
false,"Kimchi, Estados Unidos"
false,"Baião de Dois, Austrália"
false,"Bolo de Rolo, Índia"
false,"Cuscuz Paulista, Amazonas"
true,"Pamonha, Goiás"
true,"Paella, Espanha"
true,"Pizza, Itália"
true,"Sashimi, Japão"
false,"Tacacá, China"
false,"Bacalhau, México"
false,"Hambúrguer, Rússia"
false,"Bolo de Rolo, Paraná"
false,"Salsicha, Portugal"
true,"Curry, Índia"
false,"Choripán, Paraná"
false,"Moqueca Capixaba, China"
false,"Ratatouille, Egito"
true,"Virado à Paulista, São Paulo"
false,"Churrasco, Coreia do Sul"
true,"Croissant, França"
true,"Croissant, França"
true,"Virado à Paulista, São Paulo"
false,"Bacalhau, Alemanha"
false,"Croissant, Amazonas"
false,"Pato de Pequim, França"
true,"Moqueca Baiana, Bahia"
false,"Empanada, Rio Grande do Sul"
true,"Feijão Tropeiro, Minas Gerais"
false,"Curry, Coreia do Sul"
false,"Churrasco, Rio de Janeiro"
true,"Virado à Paulista, São Paulo"
false,"Churrasco, Alemanha"
true,"Fish and Chips, Reino Unido"
false,"Poutine, Bahia"
false,"Moqueca Baiana, Japão"
true,"Guacamole, México"
true,"Churrasco, Rio Grande do Sul"
true,"Pato de Pequim, China"
false,"Bacalhau, Coreia do Sul"
true,"Curry, Índia"
false,"Pastel de Nata, Rio Grande do Sul"
true,"Ratatouille, França"
true,"Acarajé, Bahia"
false,"Tapioca, Portugal"
false,"Ratatouille, Rio Grande do Sul"
false,"Carne de Sol, Bahia"
true,"Fish and Chips, Reino Unido"
true,"Arepa, Colômbia"
false,"Pão de Queijo, China"
false,"Sashimi, Suíça"
false,"Barreado, Chile"
false,"Tacacá, França"
true,"Moqueca Baiana, Bahia"
false,"Sushi, Maranhão"
false,"Pato de Pequim, Paraíba"
true,"Ceviche, Peru"
true,"Sushi, Japão"
false,"Pato de Pequim, Itália"
false,"Pato de Pequim, Índia"
true,"Curry, Índia"
true,"Cuscuz Paulista, São Paulo"
false,"Pato de Pequim, México"
true,"Bacalhau, Portugal"
true,"Moqueca Capixaba, Espírito Santo"
false,"Paella, Bahia"
false,"Pequi, Alemanha"
true,"Tapioca, Pernambuco"
true,"Salsicha, Alemanha"
true,"Moqueca Capixaba, Espírito Santo"
false,"Guacamole, Egito"
false,"Tacacá, México"
false,"Feijoada, Acre"
false,"Sushi, Rússia"
false,"Bacalhau, Rússia"
false,"Feijoada, Coreia do Sul"
true,"Pequi, Goiás"
true,"Macarronada, Itália"
false,"Macarronada, Ceará"
false,"Choripán, Coreia do Sul"
false,"Cuscuz Paulista, Espírito Santo"
true,"Empanada, Argentina"
true,"Pizza, Itália"
false,"Hambúrguer, Rio Grande do Sul"
false,"Paella, Canadá"
true,"Arroz de Cuxá, Maranhão"
false,"Curry, Pernambuco"
false,"Ratatouille, Tailândia"
false,"Pizza, Portugal"
false,"Pizza, Espírito Santo"
true,"Ceviche, Peru"
false,"Empadão Goiano, Reino Unido"
true,"Kimchi, Coreia do Sul"
false,"Paella, Suíça"
true,"Pão de Queijo, Minas Gerais"
true,"Pamonha, Goiás"
true,"Sushi, Japão"
true,"Choripán, Argentina"
false,"Fish and Chips, Estados Unidos"
false,"Paella, Peru"
false,"Pamonha, França"
false,"Feijão Tropeiro, São Paulo"
true,"Moqueca Baiana, Bahia"
true,"Pizza, Itália"
true,"Croissant, França"
false,"Churrasco, Rússia"
true,"Tacacá, Amazonas"
false,"Cuscuz Paulista, Rússia"
true,"Sashimi, Japão"
false,"Sashimi, Egito"
false,"Bacalhau, Paraíba"
false,"Baião de Dois, Itália"
false,"Arroz de Cuxá, São Paulo"
false,"Barreado, Canadá"
false,"Salsicha, Tailândia"
true,"Croissant, França"
true,"Baião de Dois, Ceará"
false,"Sushi, Peru"
false,"Baião de Dois, Argentina"
true,"Tacos, México"
true,"Arroz de Cuxá, Maranhão"
true,"Pizza, Itália"
true,"Moqueca Baiana, Bahia"
true,"Guacamole, México"
true,"Pão de Queijo, Minas Gerais"
true,"Curry, Índia"
false,"Pequi, Estados Unidos"
false,"Ceviche, Japão"
false,"Guacamole, Paraíba"
false,"Baião de Dois, Roraima"
true,"Churrasco, Rio Grande do Sul"
false,"Barreado, México"
false,"Sashimi, China"
false,"Pad Thai, Espanha"
true,"Kimchi, Coreia do Sul"
true,"Bacalhau, Portugal"
true,"Feijoada, Rio de Janeiro"
false,"Pão de Queijo, Amazonas"
false,"Macarronada, Coreia do Sul"
false,"Poutine, Peru"
false,"Guacamole, Pernambuco"
true,"Tacos, México"
false,"Choripán, São Paulo"
false,"Poutine, Bahia"
true,"Baião de Dois, Ceará"
false,"Feijoada, Rússia"
true,"Croissant, França"
false,"Empadão Goiano, Espanha"
false,"Paella, Espírito Santo"
true,"Fish and Chips, Reino Unido"
true,"Pad Thai, Tailândia"
true,"Moqueca Capixaba, Espírito Santo"
true,"Tapioca, Pernambuco"
false,"Pad Thai, Austrália"
false,"Vatapá, Portugal"
false,"Bacalhau, Índia"
true,"Churrasco, Rio Grande do Sul"
true,"Carne de Sol, Paraíba"
false,"Sashimi, Espírito Santo"
true,"Cuscuz Paulista, São Paulo"
false,"Poutine, Egito"
true,"Sushi, Japão"
false,"Pizza, Espanha"
false,"Bolo de Rolo, Paraná"
true,"Fish and Chips, Reino Unido"
false,"Ratatouille, Chile"
false,"Kimchi, Pernambuco"
false,"Moqueca Capixaba, São Paulo"
false,"Virado à Paulista, Roraima"
true,"Virado à Paulista, São Paulo"
true,"Salsicha, Alemanha"
false,"Guacamole, Coreia do Sul"
true,"Feijão Tropeiro, Minas Gerais"
false,"Sashimi, Canadá"
true,"Croissant, França"
false,"Hambúrguer, Acre"
true,"Ratatouille, França"
true,"Cuscuz Paulista, São Paulo"
true,"Arroz de Cuxá, Maranhão"
true,"Sashimi, Japão"
true,"Croissant, França"
true,"Macarronada, Itália"
false,"Pamonha, Minas Gerais"
true,"Churrasco, Rio Grande do Sul"
false,"Guacamole, Chile"
false,"Curry, Reino Unido"
true,"Pamonha, Goiás"
true,"Guacamole, México"
false,"Carne de Sol, China"
false,"Poutine, Ceará"
false,"Feijão Tropeiro, Estados Unidos"
true,"Fish and Chips, Reino Unido"
false,"Bolo de Rolo, Portugal"
true,"Churrasco, Rio Grande do Sul"
false,"Tacacá, Colômbia"
true,"Feijoada, Rio de Janeiro"
false,"Pato de Pequim, Maranhão"
true,"Pastel de Nata, Portugal"
false,"Acarajé, Peru"
true,"Moqueca Baiana, Bahia"
false,"Macarronada, Chile"
true,"Moqueca Baiana, Bahia"
true,"Carne de Sol, Paraíba"
true,"Carne de Sol, Paraíba"
true,"Pamonha, Goiás"
true,"Ratatouille, França"
false,"Sushi, Egito"
true,"Curry, Índia"
false,"Croissant, Paraná"
true,"Croissant, França"
true,"Choripán, Argentina"
true,"Pão de Queijo, Minas Gerais"
false,"Cuscuz Paulista, Tailândia"
true,"Bacalhau, Portugal"
false,"Arroz de Cuxá, Espírito Santo"
false,"Paella, Japão"
true,"Pato de Pequim, China"
false,"Poutine, Austrália"
true,"Pamonha, Goiás"
false,"Baião de Dois, Canadá"
true,"Acarajé, Bahia"
true,"Pad Thai, Tailândia"
true,"Pequi, Goiás"
false,"Curry, Portugal"
false,"Sushi, Egito"
false,"Pad Thai, Egito"
true,"Pizza, Itália"
true,"Tapioca, Pernambuco"
true,"Churrasco, Rio Grande do Sul"
true,"Empanada, Argentina"
true,"Pequi, Goiás"
true,"Hambúrguer, Estados Unidos"
false,"Churrasco, Alemanha"
true,"Baião de Dois, Ceará"
false,"Carne de Sol, Argentina"
true,"Sushi, Japão"
true,"Virado à Paulista, São Paulo"
false,"Tacacá, Japão"
true,"Sushi, Japão"
true,"Moqueca Baiana, Bahia"
false,"Salsicha, Japão"
true,"Pato de Pequim, China"
false,"Pastel de Nata, Paraná"
false,"Bolo de Rolo, Austrália"
true,"Baião de Dois, Ceará"
true,"Ratatouille, França"
false,"Choripán, Paraíba"
false,"Vatapá, Portugal"
false,"Pizza, Suíça"
false,"Ratatouille, Maranhão"
true,"Pequi, Goiás"
true,"Kimchi, Coreia do Sul"
true,"Arroz de Cuxá, Maranhão"
true,"Guacamole, México"
false,"Macarronada, Alemanha"
true,"Sashimi, Japão"
true,"Tacacá, Amazonas"
false,"Moqueca Capixaba, Reino Unido"
false,"Curry, Pernambuco"
false,"Pastel de Nata, Japão"
false,"Tapioca, Itália"
false,"Barreado, Bahia"
true,"Sushi, Japão"
true,"Bolo de Rolo, Pernambuco"
true,"Feijão Tropeiro, Minas Gerais"
true,"Cuscuz Paulista, São Paulo"
false,"Acarajé, Peru"
false,"Baião de Dois, Maranhão"
false,"Arepa, Tailândia"
false,"Vatapá, Pernambuco"
true,"Feijoada, Rio de Janeiro"
true,"Choripán, Argentina"
false,"Arroz de Cuxá, Peru"
true,"Curry, Índia"
true,"Croissant, França"
false,"Croissant, Ceará"
false,"Carne de Sol, Rússia"
true,"Pastel de Nata, Portugal"
true,"Choripán, Argentina"
false,"Kimchi, Rio de Janeiro"
false,"Pastel de Nata, Colômbia"
false,"Poutine, Paraíba"
false,"Feijoada, Coreia do Sul"
false,"Hambúrguer, Roraima"
true,"Tapioca, Pernambuco"
true,"Churrasco, Rio Grande do Sul"
true,"Pão de Queijo, Minas Gerais"
false,"Tapioca, Argentina"
true,"Empadão Goiano, Goiás"
false,"Cuscuz Paulista, Rússia"
false,"Tacos, Goiás"
false,"Virado à Paulista, Amazonas"
false,"Virado à Paulista, Suíça"
false,"Pamonha, Coreia do Sul"
false,"Paella, Suíça"
false,"Virado à Paulista, México"
true,"Croissant, França"
true,"Churrasco, Rio Grande do Sul"
true,"Churrasco, Rio Grande do Sul"
true,"Barreado, Paraná"
true,"Poutine, Canadá"
true,"Pequi, Goiás"
false,"Sushi, Índia"
true,"Bolo de Rolo, Pernambuco"
true,"Baião de Dois, Ceará"
false,"Macarronada, Egito"
false,"Baião de Dois, Maranhão"
false,"Pamonha, México"
true,"Croissant, França"
true,"Croissant, França"
true,"Macarronada, Itália"
false,"Kimchi, Canadá"
false,"Sashimi, México"
false,"Pastel de Nata, Colômbia"
false,"Kimchi, Rússia"
false,"Kimchi, Egito"
false,"Vatapá, França"
false,"Tapioca, Chile"
true,"Empadão Goiano, Goiás"
false,"Feijoada, Canadá"
true,"Pizza, Itália"
